county_name,year,median_income,median_home,median_rent,state_fips,county_fips,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,mortgage_rate,fed_rate,cpi,inflation_rate,housing_burden,hud_burden,real_income_index,macro_housing_pressure
Albany County,2009,55350,192500,830,36,001,294565,686,711,868,1039,1135,5.041375,0.16,214.56466666666665,NA,0.17994579945799458,0.18818428184281843,25796.41879526608,0.9071742547425474
Albany County,2010,56090,202500,855,36,001,294565,690,716,874,1046,1143,4.6905833333333335,0.175,218.07616666666667,1.6365695501278532,0.18292030665002673,0.18698520235336066,25720.371399289394,0.8580029417008379
Albany County,2011,57715,207300,880,36,001,294565,711,737,900,1077,1177,4.4558333333333335,0.10166666666666667,224.923,3.1396522774535196,0.18296803257385427,0.1871263969505328,25659.89249654326,0.815275058476999
Albany County,2012,59359,210200,890,36,001,294565,687,713,870,1041,1138,3.6559166666666667,0.14,229.58608333333333,2.0731909735035137,0.1799221685001432,0.17587897370238717,25854.790124111038,0.6577804545224819
Albany County,2013,59394,209300,904,36,001,304204,657,744,921,1147,1231,3.9819166666666668,0.1075,232.95175,1.4659715509759863,0.182644711587029,0.18607940195979392,25496.266930812926,0.7272760211469173
Albany County,2014,59940,208600,918,36,001,304204,662,750,929,1157,1242,4.172833333333333,0.08916666666666667,236.715,1.6154632879984865,0.1837837837837838,0.18598598598598598,25321.589252899055,0.7668990990990991
Albany County,2015,59887,208400,919,36,001,304204,690,782,968,1206,1294,3.849,0.1325,237.00175000000002,0.12113723253701636,0.18414680982517073,0.19396530131748127,25268.58978889396,0.7087810710170822
Albany County,2016,60904,211100,931,36,001,304204,685,823,1005,1247,1378,3.6477083333333336,0.395,240.00541666666666,1.2673605433996427,0.18343622750558256,0.19801655063706816,25376.093942324216,0.6691218557073427
Albany County,2017,62293,214400,969,36,001,304204,690,817,1006,1259,1387,3.991,1.0016666666666667,245.121,2.1314449500271726,0.1866662385821842,0.19379384521535326,25413.163294862537,0.7449849581814971
Albany County,2018,64535,218100,993,36,001,304204,700,837,1032,1294,1406,4.539041666666667,1.8316666666666666,251.0995,2.438999514525486,0.18464399163244752,0.19189587045789105,25700.96714648974,0.8381067715193307
Albany County,2019,66252,222500,1022,36,001,304204,768,904,1115,1397,1507,3.93375,2.158333333333333,255.65258333333333,1.8132586219141489,0.18511139286361167,0.20195616736098532,25914.856457216843,0.7281819416772324
Albany County,2020,68327,230300,1057,36,001,308580,747,855,1054,1313,1428,3.1136666666666666,0.37583333333333335,258.85575,1.2529373358571627,0.18563671754943142,0.18510983944853426,26395.782206885495,0.5780108595430796
Albany County,2021,73810,235200,1113,36,001,308580,809,912,1117,1389,1515,2.9557083333333334,0.08,270.97341666666665,4.681242996018686,0.18095109063812492,0.1816014090231676,27238.834313698055,0.5348386465248611
Albany County,2022,78829,263800,1196,36,001,308580,890,991,1207,1492,1637,5.3275,1.6833333333333333,292.62641666666667,7.990820747791694,0.18206497608748048,0.18373948673711452,26938.442843933262,0.9699511601060522
Albany County,2023,83149,277400,1252,36,001,306165,968,1079,1313,1598,1764,6.795375,5.024166666666667,304.70300000000003,4.126962791295052,0.18068768115070535,0.18949115443360715,27288.539988119577,1.2278405512994743
Albany County,2024,85333,294600,1313,36,001,306165,1011,1131,1374,1661,1830,6.7236666666666665,5.1433333333333335,313.6981666666667,2.9521096499432797,0.1846413462552588,0.19321950476369049,27202.262897084194,1.2414668651049416
Allegany County,2009,40917,65100,566,36,003,49927,553,555,665,829,1018,5.041375,0.16,214.56466666666665,NA,0.1659945743822861,0.19502896106752696,19069.775390169863,0.8368408974264976
Allegany County,2010,41305,66100,568,36,003,49927,573,576,690,860,1056,4.6905833333333335,0.175,218.07616666666667,1.6365695501278532,0.165016341847234,0.20045999273695678,18940.63007038061,0.7740229027962716
Allegany County,2011,41900,66800,584,36,003,49927,568,571,684,852,1047,4.4558333333333335,0.10166666666666667,224.923,3.1396522774535196,0.16725536992840095,0.1958949880668258,18628.597342201552,0.7452620525059667
Allegany County,2012,42095,67600,594,36,003,49927,577,579,694,865,1063,3.6559166666666667,0.14,229.58608333333333,2.0731909735035137,0.16933127449815893,0.19783822306687254,18335.170576904162,0.6190610286257275
Allegany County,2013,42445,69600,595,36,003,48946,520,524,654,855,962,3.9819166666666668,0.1075,232.95175,1.4659715509759863,0.16821769348568735,0.18489810342796562,18220.511329062778,0.6698288373188832
Allegany County,2014,42726,69100,604,36,003,48946,507,510,637,833,937,4.172833333333333,0.08916666666666667,236.715,1.6154632879984865,0.16963909563263588,0.17890745681786266,18049.553260249668,0.7078756728923841
Allegany County,2015,42776,70300,606,36,003,48946,528,531,663,867,975,3.849,0.1325,237.00175000000002,0.12113723253701636,0.17000187020759305,0.18599214512810922,18048.811875861673,0.6543371984290257
Allegany County,2016,44085,72100,618,36,003,48946,511,552,658,833,1030,3.6477083333333336,0.395,240.00541666666666,1.2673605433996427,0.16822048315753657,0.17910854031983667,18368.335436873822,0.6136192582511059
Allegany County,2017,45359,73300,633,36,003,48946,531,560,681,880,1068,3.991,1.0016666666666667,245.121,2.1314449500271726,0.16746400934764877,0.18016270199960316,18504.73847609956,0.6683488613064662
Allegany County,2018,47033,73900,645,36,003,48946,554,581,697,904,1114,4.539041666666667,1.8316666666666666,251.0995,2.438999514525486,0.16456530521123466,0.17783258563136523,18730.821845523387,0.7469687772415113
Allegany County,2019,48412,76400,658,36,003,48946,527,576,700,910,1101,3.93375,2.158333333333333,255.65258333333333,1.8132586219141489,0.16310005783689993,0.1735106998264893,18936.636340137382,0.6415948525159051
Allegany County,2020,51227,78400,659,36,003,47400,541,583,714,923,1099,3.1136666666666666,0.37583333333333335,258.85575,1.2529373358571627,0.1543717180393152,0.1672555488316708,19789.786396477575,0.4806620727350811
Allegany County,2021,54375,80900,686,36,003,47400,550,592,734,951,1103,2.9557083333333334,0.08,270.97341666666665,4.681242996018686,0.15139310344827586,0.16198620689655172,20066.54404291196,0.4474738574712644
Allegany County,2022,58725,93200,735,36,003,47400,569,613,757,969,1119,5.3275,1.6833333333333333,292.62641666666667,7.990820747791694,0.15019157088122606,0.15468710089399745,20068.249705184397,0.8001455938697318
Allegany County,2023,61233,97900,754,36,003,46304,616,669,826,1028,1198,6.795375,5.024166666666667,304.70300000000003,4.126962791295052,0.14776346087893782,0.16187349958355787,20095.962297712853,1.0041081279702122
Allegany County,2024,62869,101700,763,36,003,46304,676,731,905,1130,1288,6.7236666666666665,5.1433333333333335,313.6981666666667,2.9521096499432797,0.145636164087229,0.17274014220044856,20041.239216678026,0.9792090219344985
Bronx County,2009,33794,369600,885,36,005,1332650,1091,1180,1313,1615,1817,5.041375,0.16,214.56466666666665,NA,0.31425696869266734,0.46623661004912115,15750.030293897413,1.5842872255429958
Bronx County,2010,34264,386200,923,36,005,1332650,1129,1222,1359,1672,1880,4.6905833333333335,0.175,218.07616666666667,1.6365695501278532,0.3232547279943965,0.4759514359094093,15711.941622842784,1.5162532395517163
Bronx County,2011,34744,391300,966,36,005,1332650,1166,1261,1403,1726,1941,4.4558333333333335,0.10166666666666667,224.923,3.1396522774535196,0.3336403407782639,0.4845728758922404,15447.064106383074,1.4866457517844809
Bronx County,2012,34300,380900,1000,36,005,1332650,1183,1280,1424,1752,1970,3.6559166666666667,0.14,229.58608333333333,2.0731909735035137,0.3498542274052478,0.4981924198250729,14939.929939133217,1.2790379008746355
Bronx County,2013,34388,374500,1032,36,005,1385108,1191,1243,1474,1895,2124,3.9819166666666668,0.1075,232.95175,1.4659715509759863,0.3601256252180993,0.5143654763289519,14761.855191042781,1.4339902291497033
Bronx County,2014,34284,366400,1060,36,005,1385108,1163,1215,1440,1852,2075,4.172833333333333,0.08916666666666667,236.715,1.6154632879984865,0.3710185509275464,0.504025201260063,14483.239338444966,1.5481985765954964
Bronx County,2015,34299,363400,1074,36,005,1385108,1196,1249,1481,1904,2134,3.849,0.1325,237.00175000000002,0.12113723253701636,0.3757543951718709,0.5181492171783434,14472.045037642127,1.4462786670165313
Bronx County,2016,35302,363600,1098,36,005,1385108,1293,1357,1571,2021,2224,3.6477083333333336,0.395,240.00541666666666,1.2673605433996427,0.37323664381621435,0.5340207353691009,14708.834696439144,1.3614584159537704
