stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,294565,541,559,679,813,876
NY,36,Montgomery County,49708,541,559,679,813,876
NY,36,Rensselaer County,152538,541,559,679,813,876
NY,36,Saratoga County,200635,541,559,679,813,876
NY,36,Schenectady County,146555,541,559,679,813,876
NY,36,Schoharie County,31582,541,559,679,813,876
NY,36,Broome County,200536,436,438,524,684,802
NY,36,Tioga County,51784,436,438,524,684,802
NY,36,Erie County,950265,538,542,648,806,899
NY,36,Niagara County,219846,538,542,648,806,899
NY,36,Dutchess County,280150,672,789,942,1177,1330
NY,36,Chemung County,91070,478,479,575,739,770
NY,36,Warren County,63303,454,480,604,762,858
NY,36,Washington County,61042,454,480,604,762,858
NY,36,Chautauqua County,139750,426,428,513,662,723
NY,36,Nassau County,1334544,898,1037,1225,1625,1771
NY,36,Suffolk County,1419369,898,1037,1225,1625,1771
NY,36,Bronx County,1332650,893,966,1075,1322,1360
NY,36,Kings County,2465326,893,966,1075,1322,1360
NY,36,New York County,1537195,893,966,1075,1322,1360
NY,36,Putnam County,95745,893,966,1075,1322,1360
NY,36,Queens County,2229379,893,966,1075,1322,1360
NY,36,Richmond County,443728,893,966,1075,1322,1360
NY,36,Rockland County,286753,893,966,1075,1322,1360
NY,36,Westchester County,923459,908,1083,1259,1532,1872
NY,36,Orange County,341367,674,767,954,1143,1231
NY,36,Genesee County,60370,511,561,687,824,878
NY,36,Livingston County,64328,511,561,687,824,878
NY,36,Monroe County,735343,511,561,687,824,878
NY,36,Ontario County,100224,511,561,687,824,878
NY,36,Orleans County,44171,511,561,687,824,878
NY,36,Wayne County,93765,511,561,687,824,878
NY,36,Cayuga County,81963,507,508,610,784,853
NY,36,Madison County,69441,507,508,610,784,853
NY,36,Onondaga County,458336,507,508,610,784,853
NY,36,Oswego County,122377,507,508,610,784,853
NY,36,Herkimer County,64427,451,452,544,667,757
NY,36,Oneida County,235469,451,452,544,667,757
NY,36,Allegany County,49927,422,424,508,633,778
NY,36,Cattaraugus County,83955,428,429,516,678,778
NY,36,Chenango County,51401,431,434,520,655,913
NY,36,Clinton County,79894,486,488,585,743,966
NY,36,Columbia County,63094,532,543,640,773,824
NY,36,Cortland County,48599,464,465,568,722,886
NY,36,Delaware County,48055,436,438,525,649,854
NY,36,Essex County,38851,458,459,551,733,797
NY,36,Franklin County,51134,420,421,503,646,715
NY,36,Fulton County,55073,359,438,554,663,704
NY,36,Greene County,48195,459,496,604,785,808
NY,36,Hamilton County,5379,462,463,556,693,803
NY,36,Jefferson County,111738,479,480,577,744,781
NY,36,Lewis County,26944,426,428,513,642,716
NY,36,Otsego County,61676,452,463,544,723,752
NY,36,St. Lawrence County,111931,427,428,515,652,712
NY,36,Schuyler County,19224,464,466,559,745,769
NY,36,Seneca County,33342,492,493,591,778,984
NY,36,Steuben County,98726,455,456,548,703,776
NY,36,Sullivan County,73966,468,519,666,797,934
NY,36,Tompkins County,96501,585,602,705,853,885
NY,36,Ulster County,177749,566,614,735,931,1157
NY,36,Wyoming County,43424,442,454,533,776,847
NY,36,Yates County,24621,453,459,545,706,727
