stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,304204,685,823,1005,1247,1378
NY,36,Allegany County,48946,511,552,658,833,1030
NY,36,Bronx County,1385108,1293,1357,1571,2021,2224
NY,36,Broome County,200600,500,575,729,987,1126
NY,36,Cattaraugus County,80317,484,566,693,911,1034
NY,36,Cayuga County,80026,535,576,761,998,1152
NY,36,Chautauqua County,134905,536,540,674,902,958
NY,36,Chemung County,88830,568,712,895,1126,1227
NY,36,Chenango County,50477,560,584,680,971,1069
NY,36,Clinton County,82128,482,656,782,988,1072
NY,36,Columbia County,63096,695,711,923,1165,1359
NY,36,Cortland County,49336,582,609,741,959,1016
NY,36,Delaware County,47980,576,580,729,906,1025
NY,36,Dutchess County,297488,842,1036,1271,1615,1853
NY,36,Erie County,919040,589,626,755,959,1098
NY,36,Essex County,39370,532,681,844,1047,1157
NY,36,Franklin County,51599,547,573,747,966,1024
NY,36,Fulton County,55531,548,604,726,933,1052
NY,36,Genesee County,60079,494,626,750,1003,1090
NY,36,Greene County,49221,641,762,882,1179,1398
NY,36,Hamilton County,4836,522,569,658,903,944
NY,36,Herkimer County,64519,556,588,741,953,1016
NY,36,Jefferson County,116229,672,812,1087,1349,1642
NY,36,Kings County,2504700,1293,1357,1571,2021,2224
NY,36,Lewis County,27087,541,579,683,891,1058
NY,36,Livingston County,65393,575,702,863,1071,1183
NY,36,Madison County,73442,545,637,809,1060,1153
NY,36,Monroe County,744344,575,702,863,1071,1183
NY,36,Montgomery County,50219,583,590,735,912,1007
NY,36,Nassau County,1339532,1003,1324,1608,2089,2350
NY,36,New York County,1585873,1293,1357,1571,2021,2224
NY,36,Niagara County,216469,589,626,755,959,1098
NY,36,Oneida County,234878,556,588,741,953,1016
NY,36,Onondaga County,467026,545,637,809,1060,1153
NY,36,Ontario County,107931,575,702,863,1071,1183
NY,36,Orange County,372813,842,1036,1271,1615,1853
NY,36,Orleans County,42883,575,702,863,1071,1183
NY,36,Oswego County,122109,545,637,809,1060,1153
NY,36,Otsego County,62259,648,652,823,1072,1198
NY,36,Putnam County,99710,1293,1357,1571,2021,2224
NY,36,Queens County,2230722,1293,1357,1571,2021,2224
NY,36,Rensselaer County,159429,685,823,1005,1247,1378
NY,36,Richmond County,468730,1293,1357,1571,2021,2224
NY,36,Rockland County,311687,1293,1357,1571,2021,2224
NY,36,St. Lawrence County,111944,555,617,763,996,1078
NY,36,Saratoga County,219607,685,823,1005,1247,1378
NY,36,Schenectady County,154727,685,823,1005,1247,1378
NY,36,Schoharie County,32749,685,823,1005,1247,1378
NY,36,Schuyler County,18343,522,549,658,914,1149
NY,36,Seneca County,35251,507,612,716,1014,1250
NY,36,Steuben County,98990,542,631,771,981,1090
NY,36,Suffolk County,1493350,1003,1324,1608,2089,2350
NY,36,Sullivan County,77547,712,746,898,1203,1492
NY,36,Tioga County,51125,500,575,729,987,1126
NY,36,Tompkins County,101564,817,937,1084,1406,1607
NY,36,Ulster County,182493,707,904,1146,1493,1571
NY,36,Warren County,65707,562,714,872,1089,1290
NY,36,Washington County,63216,562,714,872,1089,1290
NY,36,Wayne County,93772,575,702,863,1071,1183
NY,36,Westchester County,949113,1036,1245,1510,1942,2229
NY,36,Wyoming County,42155,474,523,675,922,925
NY,36,Yates County,25348,432,579,691,898,1001
