stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,304204,690,817,1006,1259,1387
NY,36,Allegany County,48946,531,560,681,880,1068
NY,36,Bronx County,1385108,1352,1419,1637,2102,2267
NY,36,Broome County,200600,543,597,767,1038,1192
NY,36,Cattaraugus County,80317,519,556,683,931,1036
NY,36,Cayuga County,80026,549,594,784,1019,1146
NY,36,Chautauqua County,134905,548,551,704,937,1036
NY,36,Chemung County,88830,577,641,815,1037,1123
NY,36,Chenango County,50477,587,591,717,974,1098
NY,36,Clinton County,82128,567,716,852,1098,1174
NY,36,Columbia County,63096,718,737,950,1224,1342
NY,36,Cortland County,49336,626,639,782,1014,1078
NY,36,Delaware County,47980,584,588,762,967,1050
NY,36,Dutchess County,297488,857,1021,1269,1628,1888
NY,36,Erie County,919040,658,666,810,1029,1189
NY,36,Essex County,39370,571,711,883,1129,1217
NY,36,Franklin County,51599,553,584,743,984,1024
NY,36,Fulton County,55531,540,627,757,972,1054
NY,36,Genesee County,60079,535,649,783,1063,1139
NY,36,Greene County,49221,643,794,931,1216,1543
NY,36,Hamilton County,4836,621,679,783,1073,1123
NY,36,Herkimer County,64519,634,634,819,1037,1129
NY,36,Jefferson County,116229,695,824,1095,1370,1631
NY,36,Kings County,2504700,1352,1419,1637,2102,2267
NY,36,Lewis County,27087,564,614,711,983,1104
NY,36,Livingston County,65393,625,737,915,1145,1261
NY,36,Madison County,73442,579,647,817,1071,1169
NY,36,Monroe County,744344,625,737,915,1145,1261
NY,36,Montgomery County,50219,614,618,770,963,1064
NY,36,Nassau County,1339532,1230,1533,1878,2429,2717
NY,36,New York County,1585873,1352,1419,1637,2102,2267
NY,36,Niagara County,216469,658,666,810,1029,1189
NY,36,Oneida County,234878,634,634,819,1037,1129
NY,36,Onondaga County,467026,579,647,817,1071,1169
NY,36,Ontario County,107931,625,737,915,1145,1261
NY,36,Orange County,372813,857,1021,1269,1628,1888
NY,36,Orleans County,42883,625,737,915,1145,1261
NY,36,Oswego County,122109,579,647,817,1071,1169
NY,36,Otsego County,62259,670,675,853,1100,1296
NY,36,Putnam County,99710,1352,1419,1637,2102,2267
NY,36,Queens County,2230722,1352,1419,1637,2102,2267
NY,36,Rensselaer County,159429,690,817,1006,1259,1387
NY,36,Richmond County,468730,1352,1419,1637,2102,2267
NY,36,Rockland County,311687,1352,1419,1637,2102,2267
NY,36,St. Lawrence County,111944,631,655,824,1031,1221
NY,36,Saratoga County,219607,690,817,1006,1259,1387
NY,36,Schenectady County,154727,690,817,1006,1259,1387
NY,36,Schoharie County,32749,690,817,1006,1259,1387
NY,36,Schuyler County,18343,542,568,683,962,1203
NY,36,Seneca County,35251,544,643,765,1096,1348
NY,36,Steuben County,98990,538,597,727,959,1038
NY,36,Suffolk County,1493350,1230,1533,1878,2429,2717
NY,36,Sullivan County,77547,726,791,952,1280,1525
NY,36,Tioga County,51125,543,597,767,1038,1192
NY,36,Tompkins County,101564,842,911,1071,1383,1750
NY,36,Ulster County,182493,724,904,1141,1479,1573
NY,36,Warren County,65707,563,700,871,1104,1272
NY,36,Washington County,63216,563,700,871,1104,1272
NY,36,Wayne County,93772,625,737,915,1145,1261
NY,36,Westchester County,949113,1196,1401,1706,2197,2521
NY,36,Wyoming County,42155,495,530,684,939,943
NY,36,Yates County,25348,493,602,716,941,1030
