stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,294565,565,586,715,856,935
NY,36,Allegany County,49927,440,443,530,660,811
NY,36,Bronx County,1332650,940,1003,1133,1406,1556
NY,36,Broome County,200536,454,456,546,713,836
NY,36,Cattaraugus County,83955,446,447,538,707,811
NY,36,Cayuga County,81963,471,472,566,753,874
NY,36,Chautauqua County,139750,444,446,535,690,754
NY,36,Chemung County,91070,498,499,599,770,802
NY,36,Chenango County,51401,449,453,542,683,952
NY,36,Clinton County,79894,507,509,610,775,1007
NY,36,Columbia County,63094,554,566,667,806,859
NY,36,Cortland County,48599,484,485,592,752,924
NY,36,Delaware County,48055,454,456,547,676,890
NY,36,Dutchess County,280150,694,815,998,1224,1303
NY,36,Erie County,950265,487,488,586,725,800
NY,36,Essex County,38851,477,478,574,763,830
NY,36,Franklin County,51134,438,439,524,673,745
NY,36,Fulton County,55073,375,457,578,692,735
NY,36,Genesee County,60370,515,516,620,769,870
NY,36,Greene County,48195,479,517,630,819,892
NY,36,Hamilton County,5379,482,483,580,723,838
NY,36,Herkimer County,64427,470,471,567,695,789
NY,36,Jefferson County,111738,500,501,602,776,815
NY,36,Kings County,2465326,940,1003,1133,1406,1556
NY,36,Lewis County,26944,444,446,535,669,747
NY,36,Livingston County,64328,485,537,656,788,834
NY,36,Madison County,69441,485,486,586,750,812
NY,36,Monroe County,735343,485,537,656,788,834
NY,36,Montgomery County,49708,438,470,528,668,723
NY,36,Nassau County,1334544,938,1084,1280,1699,1851
NY,36,New York County,1537195,940,1003,1133,1406,1556
NY,36,Niagara County,219846,487,488,586,725,800
NY,36,Oneida County,235469,470,471,567,695,789
NY,36,Onondaga County,458336,485,486,586,750,812
NY,36,Ontario County,100224,485,537,656,788,834
NY,36,Orange County,341367,694,815,998,1224,1303
NY,36,Orleans County,44171,485,537,656,788,834
NY,36,Oswego County,122377,485,486,586,750,812
NY,36,Otsego County,61676,471,483,567,754,784
NY,36,Putnam County,95745,940,1003,1133,1406,1556
NY,36,Queens County,2229379,940,1003,1133,1406,1556
NY,36,Rensselaer County,152538,565,586,715,856,935
NY,36,Richmond County,443728,940,1003,1133,1406,1556
NY,36,Rockland County,286753,940,1003,1133,1406,1556
NY,36,St. Lawrence County,111931,445,446,537,680,743
NY,36,Saratoga County,200635,565,586,715,856,935
NY,36,Schenectady County,146555,565,586,715,856,935
NY,36,Schoharie County,31582,565,586,715,856,935
NY,36,Schuyler County,19224,484,486,583,777,803
NY,36,Seneca County,33342,513,514,616,811,1026
NY,36,Steuben County,98726,474,475,571,733,809
NY,36,Suffolk County,1419369,938,1084,1280,1699,1851
NY,36,Sullivan County,73966,488,541,694,831,973
NY,36,Tioga County,51784,454,456,546,713,836
NY,36,Tompkins County,96501,610,628,735,889,922
NY,36,Ulster County,177749,590,640,766,971,1206
NY,36,Warren County,63303,474,501,630,795,895
NY,36,Washington County,61042,474,501,630,795,895
NY,36,Wayne County,93765,485,537,656,788,834
NY,36,Westchester County,923459,949,1132,1316,1587,1957
NY,36,Wyoming County,43424,461,474,556,810,883
NY,36,Yates County,24621,472,478,568,736,758
