stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,304204,768,904,1115,1397,1507
NY,36,Allegany County,48946,527,576,700,910,1101
NY,36,Bronx County,1385108,1559,1599,1831,2324,2475
NY,36,Broome County,200600,609,640,830,1086,1236
NY,36,Cattaraugus County,80317,566,569,700,967,1079
NY,36,Cayuga County,80026,562,621,786,994,1081
NY,36,Chautauqua County,134905,555,567,700,908,1050
NY,36,Chemung County,88830,630,663,834,1074,1127
NY,36,Chenango County,50477,553,598,741,931,1010
NY,36,Clinton County,82128,567,659,810,1052,1131
NY,36,Columbia County,63096,688,748,936,1263,1296
NY,36,Cortland County,49336,628,664,793,1023,1130
NY,36,Delaware County,47980,591,595,749,974,1012
NY,36,Dutchess County,297488,969,1073,1346,1721,2008
NY,36,Erie County,919040,671,695,838,1050,1204
NY,36,Essex County,39370,625,683,847,1133,1163
NY,36,Franklin County,51599,533,620,721,952,975
NY,36,Fulton County,55531,523,636,772,967,1095
NY,36,Genesee County,60079,544,634,766,1036,1141
NY,36,Greene County,49221,615,778,957,1248,1518
NY,36,Hamilton County,4836,590,594,786,1028,1127
NY,36,Herkimer County,64519,556,608,786,985,1072
NY,36,Jefferson County,116229,748,880,1164,1460,1672
NY,36,Kings County,2504700,1559,1599,1831,2324,2475
NY,36,Lewis County,27087,568,632,723,1011,1147
NY,36,Livingston County,65393,650,760,951,1192,1285
NY,36,Madison County,73442,599,688,858,1088,1224
NY,36,Monroe County,744344,650,760,951,1192,1285
NY,36,Montgomery County,50219,648,652,788,987,1100
NY,36,Nassau County,1339532,1240,1548,1907,2460,2756
NY,36,New York County,1585873,1559,1599,1831,2324,2475
NY,36,Niagara County,216469,671,695,838,1050,1204
NY,36,Oneida County,234878,556,608,786,985,1072
NY,36,Onondaga County,467026,599,688,858,1088,1224
NY,36,Ontario County,107931,650,760,951,1192,1285
NY,36,Orange County,372813,969,1073,1346,1721,2008
NY,36,Orleans County,42883,650,760,951,1192,1285
NY,36,Oswego County,122109,599,688,858,1088,1224
NY,36,Otsego County,62259,652,657,832,1042,1329
NY,36,Putnam County,99710,1559,1599,1831,2324,2475
NY,36,Queens County,2230722,1559,1599,1831,2324,2475
NY,36,Rensselaer County,159429,768,904,1115,1397,1507
NY,36,Richmond County,468730,1559,1599,1831,2324,2475
NY,36,Rockland County,311687,1559,1599,1831,2324,2475
NY,36,St. Lawrence County,111944,609,634,801,1004,1203
NY,36,Saratoga County,219607,768,904,1115,1397,1507
NY,36,Schenectady County,154727,768,904,1115,1397,1507
NY,36,Schoharie County,32749,768,904,1115,1397,1507
NY,36,Schuyler County,18343,550,598,700,1011,1182
NY,36,Seneca County,35251,669,673,795,1089,1321
NY,36,Steuben County,98990,596,616,731,983,1105
NY,36,Suffolk County,1493350,1240,1548,1907,2460,2756
NY,36,Sullivan County,77547,654,788,964,1245,1364
NY,36,Tioga County,51125,609,640,830,1086,1236
NY,36,Tompkins County,101564,913,941,1135,1448,1729
NY,36,Ulster County,182493,777,962,1210,1537,1676
NY,36,Warren County,65707,661,761,959,1231,1368
NY,36,Washington County,63216,661,761,959,1231,1368
NY,36,Wayne County,93772,650,760,951,1192,1285
NY,36,Westchester County,949113,1243,1463,1775,2283,2598
NY,36,Wyoming County,42155,488,553,700,943,946
NY,36,Yates County,25348,521,647,760,1024,1027
