stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,308580,890,991,1207,1492,1637
NY,36,Allegany County,47400,569,613,757,969,1119
NY,36,Bronx County,1455845,2018,2054,2340,2952,3173
NY,36,Broome County,196125,634,668,855,1136,1255
NY,36,Cattaraugus County,78175,614,618,757,1021,1102
NY,36,Cayuga County,78320,633,677,846,1072,1199
NY,36,Chautauqua County,130845,518,613,757,979,1062
NY,36,Chemung County,86885,738,743,944,1241,1339
NY,36,Chenango County,48765,525,638,767,979,1044
NY,36,Clinton County,81225,682,686,884,1134,1219
NY,36,Columbia County,61480,790,860,1012,1302,1372
NY,36,Cortland County,48335,697,723,867,1072,1384
NY,36,Delaware County,45950,647,651,757,1029,1033
NY,36,Dutchess County,295685,1033,1107,1412,1796,2022
NY,36,Erie County,923995,774,812,963,1190,1334
NY,36,Essex County,38235,691,739,844,1162,1166
NY,36,Franklin County,51055,518,679,780,1016,1058
NY,36,Fulton County,53955,653,692,862,1066,1255
NY,36,Genesee County,58535,560,686,833,1124,1211
NY,36,Greene County,47790,725,832,1030,1284,1397
NY,36,Hamilton County,4645,677,682,897,1109,1275
NY,36,Herkimer County,62945,676,680,863,1067,1238
NY,36,Jefferson County,116565,786,899,1183,1587,1864
NY,36,Kings County,2635120,2018,2054,2340,2952,3173
NY,36,Lewis County,26845,647,658,838,1052,1266
NY,36,Livingston County,64375,727,828,1039,1284,1409
NY,36,Madison County,71760,694,781,966,1198,1390
NY,36,Monroe County,748680,727,828,1039,1284,1409
NY,36,Montgomery County,49500,692,696,820,1028,1135
NY,36,Nassau County,1363070,1372,1695,2065,2642,2911
NY,36,New York County,1653875,2018,2054,2340,2952,3173
NY,36,Niagara County,212675,774,812,963,1190,1334
NY,36,Oneida County,232325,676,680,863,1067,1238
NY,36,Onondaga County,467670,694,781,966,1198,1390
NY,36,Ontario County,109490,727,828,1039,1284,1409
NY,36,Orange County,378175,1033,1107,1412,1796,2022
NY,36,Orleans County,41585,727,828,1039,1284,1409
NY,36,Oswego County,119835,694,781,966,1198,1390
NY,36,Otsego County,60750,723,734,892,1151,1307
NY,36,Putnam County,99465,2018,2054,2340,2952,3173
NY,36,Queens County,2339280,2018,2054,2340,2952,3173
NY,36,Rensselaer County,159800,890,991,1207,1492,1637
NY,36,Richmond County,475950,2018,2054,2340,2952,3173
NY,36,Rockland County,325025,2018,2054,2340,2952,3173
NY,36,St. Lawrence County,110815,594,677,827,1047,1186
NY,36,Saratoga County,226630,890,991,1207,1492,1637
NY,36,Schenectady County,155240,890,991,1207,1492,1637
NY,36,Schoharie County,31610,890,991,1207,1492,1637
NY,36,Schuyler County,18110,612,626,792,1089,1223
NY,36,Seneca County,34845,682,686,851,1095,1284
NY,36,Steuben County,97540,623,651,769,1020,1231
NY,36,Suffolk County,1497595,1372,1695,2065,2642,2911
NY,36,Sullivan County,75785,656,791,987,1246,1444
NY,36,Tioga County,49320,634,668,855,1136,1255
NY,36,Tompkins County,104415,1053,1127,1365,1743,1851
NY,36,Ulster County,180130,938,1060,1364,1794,2018
NY,36,Warren County,64700,715,850,1065,1383,1444
NY,36,Washington County,62185,715,850,1065,1383,1444
NY,36,Wayne County,91440,727,828,1039,1284,1409
NY,36,Westchester County,975320,1353,1566,1883,2377,2682
NY,36,Wyoming County,40885,572,575,757,994,1027
NY,36,Yates County,25085,571,686,860,1162,1166
