stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,294565,672,697,851,1019,1113
NY,36,Allegany County,49927,534,537,643,801,984
NY,36,Bronx County,1332650,1095,1185,1318,1621,1823
NY,36,Broome County,200536,561,563,674,880,1032
NY,36,Cattaraugus County,83955,542,543,654,859,986
NY,36,Cayuga County,81963,582,583,699,930,1080
NY,36,Chautauqua County,139750,549,551,661,853,931
NY,36,Chemung County,91070,614,616,739,950,990
NY,36,Chenango County,51401,546,550,659,830,1157
NY,36,Clinton County,79894,617,619,742,942,1225
NY,36,Columbia County,63094,674,688,811,980,1045
NY,36,Cortland County,48599,587,589,719,914,1122
NY,36,Delaware County,48055,554,556,667,824,1085
NY,36,Dutchess County,280150,767,901,1103,1352,1441
NY,36,Erie County,950265,585,586,704,871,962
NY,36,Essex County,38851,581,582,699,930,1011
NY,36,Franklin County,51134,533,534,638,819,907
NY,36,Fulton County,55073,456,557,704,843,895
NY,36,Genesee County,60370,636,637,766,950,1075
NY,36,Greene County,48195,582,629,766,996,1085
NY,36,Hamilton County,5379,587,588,706,880,1019
NY,36,Herkimer County,64427,579,581,699,857,973
NY,36,Jefferson County,111738,606,607,730,941,988
NY,36,Kings County,2465326,1095,1185,1318,1621,1823
NY,36,Lewis County,26944,540,543,651,814,909
NY,36,Livingston County,64328,572,632,773,928,983
NY,36,Madison County,69441,590,592,713,913,988
NY,36,Monroe County,735343,572,632,773,928,983
NY,36,Montgomery County,49708,540,580,651,824,892
NY,36,Nassau County,1334544,1121,1295,1529,2029,2211
NY,36,New York County,1537195,1095,1185,1318,1621,1823
NY,36,Niagara County,219846,585,586,704,871,962
NY,36,Oneida County,235469,579,581,699,857,973
NY,36,Onondaga County,458336,590,592,713,913,988
NY,36,Ontario County,100224,572,632,773,928,983
NY,36,Orange County,341367,767,901,1103,1352,1441
NY,36,Orleans County,44171,572,632,773,928,983
NY,36,Oswego County,122377,590,592,713,913,988
NY,36,Otsego County,61676,573,586,689,916,952
NY,36,Putnam County,95745,1095,1185,1318,1621,1823
NY,36,Queens County,2229379,1095,1185,1318,1621,1823
NY,36,Rensselaer County,152538,672,697,851,1019,1113
NY,36,Richmond County,443728,1095,1185,1318,1621,1823
NY,36,Rockland County,286753,1095,1185,1318,1621,1823
NY,36,St. Lawrence County,111931,541,543,653,827,903
NY,36,Saratoga County,200635,672,697,851,1019,1113
NY,36,Schenectady County,146555,672,697,851,1019,1113
NY,36,Schoharie County,31582,672,697,851,1019,1113
NY,36,Schuyler County,19224,589,592,710,946,978
NY,36,Seneca County,33342,624,626,750,987,1249
NY,36,Steuben County,98726,576,577,694,890,983
NY,36,Suffolk County,1419369,1121,1295,1529,2029,2211
NY,36,Sullivan County,73966,594,658,845,1011,1185
NY,36,Tioga County,51784,561,563,674,880,1032
NY,36,Tompkins County,96501,741,763,893,1081,1121
NY,36,Ulster County,177749,718,779,933,1182,1469
NY,36,Warren County,63303,584,617,776,979,1103
NY,36,Washington County,61042,584,617,776,979,1103
NY,36,Wayne County,93765,572,632,773,928,983
NY,36,Westchester County,923459,1095,1306,1519,1832,2259
NY,36,Wyoming County,43424,559,574,674,981,1071
NY,36,Yates County,24621,573,581,690,894,920
