stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,304204,662,750,929,1157,1242
NY,36,Allegany County,48946,507,510,637,833,937
NY,36,Bronx County,1385108,1163,1215,1440,1852,2075
NY,36,Broome County,200600,512,542,692,987,1119
NY,36,Cattaraugus County,80317,479,525,662,879,940
NY,36,Cayuga County,80026,551,586,746,978,1168
NY,36,Chautauqua County,134905,485,489,637,904,928
NY,36,Chemung County,88830,500,600,787,1009,1130
NY,36,Chenango County,50477,505,508,637,903,933
NY,36,Clinton County,82128,567,638,814,1092,1178
NY,36,Columbia County,63096,717,721,896,1161,1490
NY,36,Cortland County,49336,592,601,749,967,1001
NY,36,Delaware County,47980,525,529,667,836,959
NY,36,Dutchess County,297488,886,1023,1258,1576,1681
NY,36,Erie County,919040,537,570,710,908,1027
NY,36,Essex County,39370,542,636,817,1018,1261
NY,36,Franklin County,51599,553,556,716,1029,1139
NY,36,Fulton County,55531,548,551,708,935,1071
NY,36,Genesee County,60079,471,610,765,981,1082
NY,36,Greene County,49221,582,659,781,1045,1154
NY,36,Hamilton County,4836,495,548,650,810,935
NY,36,Herkimer County,64519,601,612,779,1032,1159
NY,36,Jefferson County,116229,676,779,1012,1287,1453
NY,36,Kings County,2504700,1163,1215,1440,1852,2075
NY,36,Lewis County,27087,506,548,665,980,1028
NY,36,Livingston County,65393,563,685,834,1051,1123
NY,36,Madison County,73442,561,626,801,1051,1153
NY,36,Monroe County,744344,563,685,834,1051,1123
NY,36,Montgomery County,50219,583,587,740,922,1044
NY,36,Nassau County,1339532,1033,1309,1613,2097,2415
NY,36,New York County,1585873,1163,1215,1440,1852,2075
NY,36,Niagara County,216469,537,570,710,908,1027
NY,36,Oneida County,234878,601,612,779,1032,1159
NY,36,Onondaga County,467026,561,626,801,1051,1153
NY,36,Ontario County,107931,563,685,834,1051,1123
NY,36,Orange County,372813,886,1023,1258,1576,1681
NY,36,Orleans County,42883,563,685,834,1051,1123
NY,36,Oswego County,122109,561,626,801,1051,1153
NY,36,Otsego County,62259,628,680,844,1134,1205
NY,36,Putnam County,99710,1163,1215,1440,1852,2075
NY,36,Queens County,2230722,1163,1215,1440,1852,2075
NY,36,Rensselaer County,159429,662,750,929,1157,1242
NY,36,Richmond County,468730,1163,1215,1440,1852,2075
NY,36,Rockland County,311687,1163,1215,1440,1852,2075
NY,36,St. Lawrence County,111944,503,570,724,972,1052
NY,36,Saratoga County,219607,662,750,929,1157,1242
NY,36,Schenectady County,154727,662,750,929,1157,1242
NY,36,Schoharie County,32749,662,750,929,1157,1242
NY,36,Schuyler County,18343,489,535,643,927,1099
NY,36,Seneca County,35251,484,599,710,1013,1017
NY,36,Steuben County,98990,468,553,677,876,986
NY,36,Suffolk County,1493350,1033,1309,1613,2097,2415
NY,36,Sullivan County,77547,727,731,907,1180,1606
NY,36,Tioga County,51125,512,542,692,987,1119
NY,36,Tompkins County,101564,769,943,1130,1565,1571
NY,36,Ulster County,182493,659,819,1062,1392,1613
NY,36,Warren County,65707,652,835,1015,1364,1557
NY,36,Washington County,63216,652,835,1015,1364,1557
NY,36,Wayne County,93772,563,685,834,1051,1123
NY,36,Westchester County,949113,967,1177,1449,1853,2152
NY,36,Wyoming County,42155,445,500,677,883,905
NY,36,Yates County,25348,501,506,659,899,1167
