stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,304204,700,837,1032,1294,1406
NY,36,Allegany County,48946,554,581,697,904,1114
NY,36,Bronx County,1385108,1514,1558,1789,2280,2437
NY,36,Broome County,200600,558,607,781,1029,1157
NY,36,Cattaraugus County,80317,544,563,697,952,1067
NY,36,Cayuga County,80026,536,594,770,982,1064
NY,36,Chautauqua County,134905,554,557,697,910,1040
NY,36,Chemung County,88830,581,640,807,1037,1099
NY,36,Chenango County,50477,577,581,717,919,1023
NY,36,Clinton County,82128,568,663,808,1040,1100
NY,36,Columbia County,63096,709,746,951,1246,1325
NY,36,Cortland County,49336,627,647,784,1006,1082
NY,36,Delaware County,47980,571,575,747,951,1017
NY,36,Dutchess County,297488,916,1057,1321,1692,2000
NY,36,Erie County,919040,641,660,799,1002,1163
NY,36,Essex County,39370,589,689,864,1148,1181
NY,36,Franklin County,51599,528,596,726,947,989
NY,36,Fulton County,55531,525,629,759,952,1064
NY,36,Genesee County,60079,543,637,774,1036,1139
NY,36,Greene County,49221,586,777,918,1183,1523
NY,36,Hamilton County,4836,562,621,716,967,1025
NY,36,Herkimer County,64519,571,600,780,978,1062
NY,36,Jefferson County,116229,644,759,1009,1265,1468
NY,36,Kings County,2504700,1514,1558,1789,2280,2437
NY,36,Lewis County,27087,564,625,718,1000,1135
NY,36,Livingston County,65393,632,741,924,1158,1258
NY,36,Madison County,73442,626,719,906,1166,1279
NY,36,Monroe County,744344,632,741,924,1158,1258
NY,36,Montgomery County,50219,618,622,752,943,1058
NY,36,Nassau County,1339532,1221,1527,1878,2428,2726
NY,36,New York County,1585873,1514,1558,1789,2280,2437
NY,36,Niagara County,216469,641,660,799,1002,1163
NY,36,Oneida County,234878,571,600,780,978,1062
NY,36,Onondaga County,467026,626,719,906,1166,1279
NY,36,Ontario County,107931,632,741,924,1158,1258
NY,36,Orange County,372813,916,1057,1321,1692,2000
NY,36,Orleans County,42883,632,741,924,1158,1258
NY,36,Oswego County,122109,626,719,906,1166,1279
NY,36,Otsego County,62259,654,658,832,1043,1295
NY,36,Putnam County,99710,1514,1558,1789,2280,2437
NY,36,Queens County,2230722,1514,1558,1789,2280,2437
NY,36,Rensselaer County,159429,700,837,1032,1294,1406
NY,36,Richmond County,468730,1514,1558,1789,2280,2437
NY,36,Rockland County,311687,1514,1558,1789,2280,2437
NY,36,St. Lawrence County,111944,614,628,794,995,1181
NY,36,Saratoga County,219607,700,837,1032,1294,1406
NY,36,Schenectady County,154727,700,837,1032,1294,1406
NY,36,Schoharie County,32749,700,837,1032,1294,1406
NY,36,Schuyler County,18343,548,600,697,1009,1206
NY,36,Seneca County,35251,628,658,778,1080,1370
NY,36,Steuben County,98990,560,593,712,941,1035
NY,36,Suffolk County,1493350,1221,1527,1878,2428,2726
NY,36,Sullivan County,77547,684,783,948,1238,1401
NY,36,Tioga County,51125,558,607,781,1029,1157
NY,36,Tompkins County,101564,935,978,1164,1495,1898
NY,36,Ulster County,182493,737,918,1155,1479,1573
NY,36,Warren County,65707,623,737,924,1176,1340
NY,36,Washington County,63216,623,737,924,1176,1340
NY,36,Wayne County,93772,632,741,924,1158,1258
NY,36,Westchester County,949113,1180,1384,1687,2167,2466
NY,36,Wyoming County,42155,489,543,697,946,949
NY,36,Yates County,25348,504,634,735,994,1015
