stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,308580,809,912,1117,1389,1515
NY,36,Allegany County,47400,550,592,734,951,1103
NY,36,Bronx County,1455845,1760,1801,2053,2598,2784
NY,36,Broome County,196125,632,654,846,1117,1284
NY,36,Cattaraugus County,78175,604,607,734,1015,1104
NY,36,Cayuga County,78320,638,685,847,1076,1197
NY,36,Chautauqua County,130845,557,611,747,975,1065
NY,36,Chemung County,86885,729,733,924,1220,1283
NY,36,Chenango County,48765,543,646,791,1007,1073
NY,36,Clinton County,81225,692,697,884,1150,1266
NY,36,Columbia County,61480,761,855,1028,1360,1394
NY,36,Cortland County,48335,678,733,870,1083,1285
NY,36,Delaware County,45950,646,650,764,1032,1036
NY,36,Dutchess County,295685,1088,1160,1467,1868,2097
NY,36,Erie County,923995,743,772,920,1144,1284
NY,36,Essex County,38235,680,719,853,1157,1161
NY,36,Franklin County,51055,532,680,775,1041,1051
NY,36,Fulton County,53955,600,694,854,1062,1262
NY,36,Genesee County,58535,575,696,837,1148,1232
NY,36,Greene County,47790,708,834,1047,1370,1420
NY,36,Hamilton County,4645,695,700,922,1147,1317
NY,36,Herkimer County,62945,587,625,796,990,1140
NY,36,Jefferson County,116565,691,794,1047,1389,1610
NY,36,Kings County,2635120,1760,1801,2053,2598,2784
NY,36,Lewis County,26845,645,669,828,1096,1254
NY,36,Livingston County,64375,698,805,1006,1251,1364
NY,36,Madison County,71760,648,729,901,1124,1303
NY,36,Monroe County,748680,698,805,1006,1251,1364
NY,36,Montgomery County,49500,706,711,845,1051,1172
NY,36,Nassau County,1363070,1343,1659,2035,2606,2896
NY,36,New York County,1653875,1760,1801,2053,2598,2784
NY,36,Niagara County,212675,743,772,920,1144,1284
NY,36,Oneida County,232325,587,625,796,990,1140
NY,36,Onondaga County,467670,648,729,901,1124,1303
NY,36,Ontario County,109490,698,805,1006,1251,1364
NY,36,Orange County,378175,1088,1160,1467,1868,2097
NY,36,Orleans County,41585,698,805,1006,1251,1364
NY,36,Oswego County,119835,648,729,901,1124,1303
NY,36,Otsego County,60750,732,737,916,1182,1425
NY,36,Putnam County,99465,1760,1801,2053,2598,2784
NY,36,Queens County,2339280,1760,1801,2053,2598,2784
NY,36,Rensselaer County,159800,809,912,1117,1389,1515
NY,36,Richmond County,475950,1760,1801,2053,2598,2784
NY,36,Rockland County,325025,1760,1801,2053,2598,2784
NY,36,St. Lawrence County,110815,620,693,857,1066,1270
NY,36,Saratoga County,226630,809,912,1117,1389,1515
NY,36,Schenectady County,155240,809,912,1117,1389,1515
NY,36,Schoharie County,31610,809,912,1117,1389,1515
NY,36,Schuyler County,18110,607,631,779,1084,1286
NY,36,Seneca County,34845,697,701,865,1118,1264
NY,36,Steuben County,97540,637,657,773,1044,1234
NY,36,Suffolk County,1497595,1343,1659,2035,2606,2896
NY,36,Sullivan County,75785,681,823,1032,1284,1427
NY,36,Tioga County,49320,632,654,846,1117,1284
NY,36,Tompkins County,104415,980,1048,1269,1619,1812
NY,36,Ulster County,180130,860,1020,1296,1685,1906
NY,36,Warren County,64700,677,794,1005,1311,1380
NY,36,Washington County,62185,677,794,1005,1311,1380
NY,36,Wayne County,91440,698,805,1006,1251,1364
NY,36,Westchester County,975320,1386,1619,1943,2484,2823
NY,36,Wyoming County,40885,522,574,757,1015,1027
NY,36,Yates County,25085,566,667,815,1101,1105
