stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,304204,690,782,968,1206,1294
NY,36,Allegany County,48946,528,531,663,867,975
NY,36,Bronx County,1385108,1196,1249,1481,1904,2134
NY,36,Broome County,200600,549,581,742,1058,1199
NY,36,Cattaraugus County,80317,517,567,715,949,1016
NY,36,Cayuga County,80026,554,589,749,982,1172
NY,36,Chautauqua County,134905,516,519,677,961,986
NY,36,Chemung County,88830,481,578,758,971,1088
NY,36,Chenango County,50477,520,523,656,930,960
NY,36,Clinton County,82128,589,662,845,1134,1223
NY,36,Columbia County,63096,738,743,923,1196,1535
NY,36,Cortland County,49336,594,603,751,970,1004
NY,36,Delaware County,47980,566,569,718,900,1032
NY,36,Dutchess County,297488,837,966,1188,1488,1588
NY,36,Erie County,919040,581,617,768,982,1111
NY,36,Essex County,39370,553,650,834,1039,1287
NY,36,Franklin County,51599,561,565,727,1045,1156
NY,36,Fulton County,55531,558,562,722,954,1093
NY,36,Genesee County,60079,458,593,744,954,1053
NY,36,Greene County,49221,669,757,897,1200,1326
NY,36,Hamilton County,4836,514,569,675,841,971
NY,36,Herkimer County,64519,551,561,714,946,1062
NY,36,Jefferson County,116229,702,808,1050,1335,1507
NY,36,Kings County,2504700,1196,1249,1481,1904,2134
NY,36,Lewis County,27087,539,583,708,1043,1094
NY,36,Livingston County,65393,585,712,867,1093,1168
NY,36,Madison County,73442,555,619,792,1039,1140
NY,36,Monroe County,744344,585,712,867,1093,1168
NY,36,Montgomery County,50219,601,605,763,950,1077
NY,36,Nassau County,1339532,1100,1395,1718,2234,2572
NY,36,New York County,1585873,1196,1249,1481,1904,2134
NY,36,Niagara County,216469,581,617,768,982,1111
NY,36,Oneida County,234878,551,561,714,946,1062
NY,36,Onondaga County,467026,555,619,792,1039,1140
NY,36,Ontario County,107931,585,712,867,1093,1168
NY,36,Orange County,372813,837,966,1188,1488,1588
NY,36,Orleans County,42883,585,712,867,1093,1168
NY,36,Oswego County,122109,555,619,792,1039,1140
NY,36,Otsego County,62259,624,676,839,1127,1198
NY,36,Putnam County,99710,1196,1249,1481,1904,2134
NY,36,Queens County,2230722,1196,1249,1481,1904,2134
NY,36,Rensselaer County,159429,690,782,968,1206,1294
NY,36,Richmond County,468730,1196,1249,1481,1904,2134
NY,36,Rockland County,311687,1196,1249,1481,1904,2134
NY,36,St. Lawrence County,111944,539,612,777,1043,1129
NY,36,Saratoga County,219607,690,782,968,1206,1294
NY,36,Schenectady County,154727,690,782,968,1206,1294
NY,36,Schoharie County,32749,690,782,968,1206,1294
NY,36,Schuyler County,18343,516,564,678,978,1158
NY,36,Seneca County,35251,486,601,712,1016,1020
NY,36,Steuben County,98990,481,568,696,900,1014
NY,36,Suffolk County,1493350,1100,1395,1718,2234,2572
NY,36,Sullivan County,77547,686,690,856,1113,1516
NY,36,Tioga County,51125,549,581,742,1058,1199
NY,36,Tompkins County,101564,780,957,1146,1588,1593
NY,36,Ulster County,182493,689,856,1110,1455,1686
NY,36,Warren County,65707,555,710,863,1159,1324
NY,36,Washington County,63216,555,710,863,1159,1324
NY,36,Wayne County,93772,585,712,867,1093,1168
NY,36,Westchester County,949113,1062,1292,1591,2035,2363
NY,36,Wyoming County,42155,456,513,694,905,927
NY,36,Yates County,25348,555,561,730,996,1293
