stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,308580,747,855,1054,1313,1428
NY,36,Allegany County,47400,541,583,714,923,1099
NY,36,Bronx County,1455845,1665,1714,1951,2472,2643
NY,36,Broome County,196125,606,634,820,1070,1224
NY,36,Cattaraugus County,78175,585,585,716,993,1101
NY,36,Cayuga County,78320,603,657,817,1032,1127
NY,36,Chautauqua County,130845,540,594,725,935,1063
NY,36,Chemung County,86885,647,671,839,1108,1146
NY,36,Chenango County,48765,546,629,780,978,1057
NY,36,Clinton County,81225,636,671,842,1092,1168
NY,36,Columbia County,61480,704,786,965,1299,1333
NY,36,Cortland County,48335,666,717,849,1070,1199
NY,36,Delaware County,45950,628,632,772,1036,1046
NY,36,Dutchess County,295685,1021,1112,1397,1780,2049
NY,36,Erie County,923995,674,703,843,1051,1190
NY,36,Essex County,38235,663,710,863,1164,1179
NY,36,Franklin County,51055,533,652,744,993,1008
NY,36,Fulton County,53955,557,668,815,1016,1201
NY,36,Genesee County,58535,578,680,820,1120,1221
NY,36,Greene County,47790,631,775,968,1295,1397
NY,36,Hamilton County,4645,638,642,846,1098,1211
NY,36,Herkimer County,62945,563,613,790,984,1096
NY,36,Jefferson County,116565,716,834,1099,1432,1637
NY,36,Kings County,2635120,1665,1714,1951,2472,2643
NY,36,Lewis County,26845,610,656,778,1066,1201
NY,36,Livingston County,64375,668,775,972,1211,1317
NY,36,Madison County,71760,633,723,900,1127,1291
NY,36,Monroe County,748680,668,775,972,1211,1317
NY,36,Montgomery County,49500,660,664,787,981,1112
NY,36,Nassau County,1363070,1298,1624,1992,2563,2858
NY,36,New York County,1653875,1665,1714,1951,2472,2643
NY,36,Niagara County,212675,674,703,843,1051,1190
NY,36,Oneida County,232325,563,613,790,984,1096
NY,36,Onondaga County,467670,633,723,900,1127,1291
NY,36,Ontario County,109490,668,775,972,1211,1317
NY,36,Orange County,378175,1021,1112,1397,1780,2049
NY,36,Orleans County,41585,668,775,972,1211,1317
NY,36,Oswego County,119835,633,723,900,1127,1291
NY,36,Otsego County,60750,692,696,873,1095,1404
NY,36,Putnam County,99465,1665,1714,1951,2472,2643
NY,36,Queens County,2339280,1665,1714,1951,2472,2643
NY,36,Rensselaer County,159800,747,855,1054,1313,1428
NY,36,Richmond County,475950,1665,1714,1951,2472,2643
NY,36,Rockland County,325025,1665,1714,1951,2472,2643
NY,36,St. Lawrence County,110815,625,665,830,1034,1247
NY,36,Saratoga County,226630,747,855,1054,1313,1428
NY,36,Schenectady County,155240,747,855,1054,1313,1428
NY,36,Schoharie County,31610,747,855,1054,1313,1428
NY,36,Schuyler County,18110,579,620,738,1049,1246
NY,36,Seneca County,34845,681,685,828,1094,1255
NY,36,Steuben County,97540,632,641,760,1020,1179
NY,36,Suffolk County,1497595,1298,1624,1992,2563,2858
NY,36,Sullivan County,75785,652,806,1000,1259,1384
NY,36,Tioga County,49320,606,634,820,1070,1224
NY,36,Tompkins County,104415,919,969,1172,1496,1748
NY,36,Ulster County,180130,792,967,1215,1563,1768
NY,36,Warren County,64700,671,754,956,1231,1344
NY,36,Washington County,62185,671,754,956,1231,1344
NY,36,Wayne County,91440,668,775,972,1211,1317
NY,36,Westchester County,975320,1399,1641,1975,2543,2855
NY,36,Wyoming County,40885,486,570,738,971,1000
NY,36,Yates County,25085,533,644,775,1046,1050
