stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,294565,690,716,874,1046,1143
NY,36,Allegany County,49927,573,576,690,860,1056
NY,36,Bronx County,1332650,1129,1222,1359,1672,1880
NY,36,Broome County,200536,602,604,723,944,1107
NY,36,Cattaraugus County,83955,582,583,702,922,1059
NY,36,Cayuga County,81963,624,626,750,998,1159
NY,36,Chautauqua County,139750,589,592,710,916,1000
NY,36,Chemung County,91070,659,661,793,1019,1062
NY,36,Chenango County,51401,586,590,707,891,1241
NY,36,Clinton County,79894,662,665,797,1012,1316
NY,36,Columbia County,63094,722,737,869,1050,1119
NY,36,Cortland County,48599,630,631,771,980,1203
NY,36,Delaware County,48055,593,596,715,884,1163
NY,36,Dutchess County,280150,784,922,1128,1383,1473
NY,36,Erie County,950265,605,606,728,901,994
NY,36,Essex County,38851,623,625,750,998,1085
NY,36,Franklin County,51134,571,573,684,878,972
NY,36,Fulton County,55073,489,597,755,904,960
NY,36,Genesee County,60370,682,684,822,1019,1153
NY,36,Greene County,48195,625,675,822,1069,1164
NY,36,Hamilton County,5379,629,631,757,943,1093
NY,36,Herkimer County,64427,622,623,750,920,1044
NY,36,Jefferson County,111738,650,651,783,1009,1060
NY,36,Kings County,2465326,1129,1222,1359,1672,1880
NY,36,Lewis County,26944,580,583,699,874,976
NY,36,Livingston County,64328,594,657,803,964,1021
NY,36,Madison County,69441,628,630,759,972,1052
NY,36,Monroe County,735343,594,657,803,964,1021
NY,36,Montgomery County,49708,580,623,699,884,958
NY,36,Nassau County,1334544,1167,1348,1592,2113,2302
NY,36,New York County,1537195,1129,1222,1359,1672,1880
NY,36,Niagara County,219846,605,606,728,901,994
NY,36,Oneida County,235469,622,623,750,920,1044
NY,36,Onondaga County,458336,628,630,759,972,1052
NY,36,Ontario County,100224,594,657,803,964,1021
NY,36,Orange County,341367,784,922,1128,1383,1473
NY,36,Orleans County,44171,594,657,803,964,1021
NY,36,Oswego County,122377,628,630,759,972,1052
NY,36,Otsego County,61676,614,629,739,982,1021
NY,36,Putnam County,95745,1129,1222,1359,1672,1880
NY,36,Queens County,2229379,1129,1222,1359,1672,1880
NY,36,Rensselaer County,152538,690,716,874,1046,1143
NY,36,Richmond County,443728,1129,1222,1359,1672,1880
NY,36,Rockland County,286753,1129,1222,1359,1672,1880
NY,36,St. Lawrence County,111931,580,582,700,886,968
NY,36,Saratoga County,200635,690,716,874,1046,1143
NY,36,Schenectady County,146555,690,716,874,1046,1143
NY,36,Schoharie County,31582,690,716,874,1046,1143
NY,36,Schuyler County,19224,632,636,762,1016,1049
NY,36,Seneca County,33342,670,671,805,1059,1340
NY,36,Steuben County,98726,618,619,744,955,1054
NY,36,Suffolk County,1419369,1167,1348,1592,2113,2302
NY,36,Sullivan County,73966,638,707,907,1086,1272
NY,36,Tioga County,51784,602,604,723,944,1107
NY,36,Tompkins County,96501,795,818,958,1159,1202
NY,36,Ulster County,177749,771,836,1001,1268,1576
NY,36,Warren County,63303,626,662,833,1051,1184
NY,36,Washington County,61042,626,662,833,1051,1184
NY,36,Wayne County,93765,594,657,803,964,1021
NY,36,Westchester County,923459,1169,1394,1621,1955,2410
NY,36,Wyoming County,43424,599,616,723,1053,1149
NY,36,Yates County,24621,616,624,741,960,988
