stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,304204,657,744,921,1147,1231
NY,36,Allegany County,48946,520,524,654,855,962
NY,36,Bronx County,1385108,1191,1243,1474,1895,2124
NY,36,Broome County,200600,528,558,713,1017,1152
NY,36,Cattaraugus County,80317,502,550,694,921,986
NY,36,Cayuga County,80026,534,567,722,947,1130
NY,36,Chautauqua County,134905,511,515,671,952,977
NY,36,Chemung County,88830,467,561,736,943,1057
NY,36,Chenango County,50477,531,534,670,950,981
NY,36,Clinton County,82128,514,577,737,989,1067
NY,36,Columbia County,63096,655,659,819,1062,1362
NY,36,Cortland County,49336,575,584,727,939,972
NY,36,Delaware County,47980,536,540,681,853,979
NY,36,Dutchess County,297488,853,984,1211,1517,1618
NY,36,Erie County,919040,557,591,736,941,1065
NY,36,Essex County,39370,523,614,788,981,1216
NY,36,Franklin County,51599,526,530,682,981,1085
NY,36,Fulton County,55531,535,539,692,914,1047
NY,36,Genesee County,60079,469,607,761,976,1077
NY,36,Greene County,49221,590,668,792,1060,1170
NY,36,Hamilton County,4836,535,593,703,876,1012
NY,36,Herkimer County,64519,563,573,729,966,1084
NY,36,Jefferson County,116229,700,806,1048,1332,1504
NY,36,Kings County,2504700,1191,1243,1474,1895,2124
NY,36,Lewis County,27087,492,533,647,953,1000
NY,36,Livingston County,65393,579,705,859,1083,1157
NY,36,Madison County,73442,549,613,784,1029,1129
NY,36,Monroe County,744344,579,705,859,1083,1157
NY,36,Montgomery County,50219,576,580,731,910,1032
NY,36,Nassau County,1339532,1014,1285,1583,2058,2370
NY,36,New York County,1585873,1191,1243,1474,1895,2124
NY,36,Niagara County,216469,557,591,736,941,1065
NY,36,Oneida County,234878,563,573,729,966,1084
NY,36,Onondaga County,467026,549,613,784,1029,1129
NY,36,Ontario County,107931,579,705,859,1083,1157
NY,36,Orange County,372813,853,984,1211,1517,1618
NY,36,Orleans County,42883,579,705,859,1083,1157
NY,36,Oswego County,122109,549,613,784,1029,1129
NY,36,Otsego County,62259,607,657,816,1097,1165
NY,36,Putnam County,99710,1191,1243,1474,1895,2124
NY,36,Queens County,2230722,1191,1243,1474,1895,2124
NY,36,Rensselaer County,159429,657,744,921,1147,1231
NY,36,Richmond County,468730,1191,1243,1474,1895,2124
NY,36,Rockland County,311687,1191,1243,1474,1895,2124
NY,36,St. Lawrence County,111944,485,550,699,938,1016
NY,36,Saratoga County,219607,657,744,921,1147,1231
NY,36,Schenectady County,154727,657,744,921,1147,1231
NY,36,Schoharie County,32749,657,744,921,1147,1231
NY,36,Schuyler County,18343,482,527,633,913,1082
NY,36,Seneca County,35251,492,608,721,1029,1033
NY,36,Steuben County,98990,474,560,686,887,999
NY,36,Suffolk County,1493350,1014,1285,1583,2058,2370
NY,36,Sullivan County,77547,686,691,857,1115,1518
NY,36,Tioga County,51125,528,558,713,1017,1152
NY,36,Tompkins County,101564,682,836,1001,1387,1392
NY,36,Ulster County,182493,743,924,1197,1569,1818
NY,36,Warren County,65707,520,666,809,1087,1241
NY,36,Washington County,63216,520,666,809,1087,1241
NY,36,Wayne County,93772,579,705,859,1083,1157
NY,36,Westchester County,949113,980,1192,1468,1877,2180
NY,36,Wyoming County,42155,478,538,728,950,973
NY,36,Yates County,25348,503,508,661,902,1171
