stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,294565,594,616,752,900,984
NY,36,Allegany County,49927,463,465,557,694,853
NY,36,Bronx County,1332650,988,1069,1189,1462,1645
NY,36,Broome County,200536,478,480,574,749,879
NY,36,Cattaraugus County,83955,468,470,565,742,852
NY,36,Cayuga County,81963,495,496,595,792,919
NY,36,Chautauqua County,139750,466,469,562,725,792
NY,36,Chemung County,91070,524,525,630,810,844
NY,36,Chenango County,51401,473,476,570,718,1001
NY,36,Clinton County,79894,533,535,641,814,1058
NY,36,Columbia County,63094,583,594,701,847,903
NY,36,Cortland County,48599,508,509,622,791,970
NY,36,Delaware County,48055,477,480,575,711,936
NY,36,Dutchess County,280150,737,866,1060,1300,1384
NY,36,Erie County,950265,512,513,616,762,841
NY,36,Essex County,38851,501,502,603,802,872
NY,36,Franklin County,51134,460,461,551,707,783
NY,36,Fulton County,55073,394,481,608,728,773
NY,36,Genesee County,60370,541,542,652,808,915
NY,36,Greene County,48195,503,544,662,861,937
NY,36,Hamilton County,5379,507,508,610,760,881
NY,36,Herkimer County,64427,494,495,596,731,830
NY,36,Jefferson County,111738,525,527,633,816,857
NY,36,Kings County,2465326,988,1069,1189,1462,1645
NY,36,Lewis County,26944,466,469,562,703,785
NY,36,Livingston County,64328,511,564,690,829,878
NY,36,Madison County,69441,510,511,616,788,854
NY,36,Monroe County,735343,511,564,690,829,878
NY,36,Montgomery County,49708,461,495,555,702,760
NY,36,Nassau County,1334544,994,1149,1356,1799,1961
NY,36,New York County,1537195,988,1069,1189,1462,1645
NY,36,Niagara County,219846,512,513,616,762,841
NY,36,Oneida County,235469,494,495,596,731,830
NY,36,Onondaga County,458336,510,511,616,788,854
NY,36,Ontario County,100224,511,564,690,829,878
NY,36,Orange County,341367,737,866,1060,1300,1384
NY,36,Orleans County,44171,511,564,690,829,878
NY,36,Oswego County,122377,510,511,616,788,854
NY,36,Otsego County,61676,495,507,596,792,824
NY,36,Putnam County,95745,988,1069,1189,1462,1645
NY,36,Queens County,2229379,988,1069,1189,1462,1645
NY,36,Rensselaer County,152538,594,616,752,900,984
NY,36,Richmond County,443728,988,1069,1189,1462,1645
NY,36,Rockland County,286753,988,1069,1189,1462,1645
NY,36,St. Lawrence County,111931,468,469,564,714,780
NY,36,Saratoga County,200635,594,616,752,900,984
NY,36,Schenectady County,146555,594,616,752,900,984
NY,36,Schoharie County,31582,594,616,752,900,984
NY,36,Schuyler County,19224,509,511,613,817,844
NY,36,Seneca County,33342,538,540,647,851,1077
NY,36,Steuben County,98726,498,499,600,770,850
NY,36,Suffolk County,1419369,994,1149,1356,1799,1961
NY,36,Sullivan County,73966,512,568,729,873,1022
NY,36,Tioga County,51784,478,480,574,749,879
NY,36,Tompkins County,96501,642,660,773,935,970
NY,36,Ulster County,177749,620,672,805,1020,1267
NY,36,Warren County,63303,498,526,662,835,941
NY,36,Washington County,61042,498,526,662,835,941
NY,36,Wayne County,93765,511,564,690,829,878
NY,36,Westchester County,923459,1006,1200,1395,1682,2074
NY,36,Wyoming County,43424,484,498,584,850,928
NY,36,Yates County,24621,496,503,597,773,796
