stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,294565,687,713,870,1041,1138
NY,36,Allegany County,49927,577,579,694,865,1063
NY,36,Bronx County,1332650,1183,1280,1424,1752,1970
NY,36,Broome County,200536,590,593,709,925,1085
NY,36,Cattaraugus County,83955,599,601,723,950,1090
NY,36,Cayuga County,81963,596,597,716,953,1106
NY,36,Chautauqua County,139750,595,598,717,925,1010
NY,36,Chemung County,91070,639,641,769,988,1030
NY,36,Chenango County,51401,579,584,699,881,1227
NY,36,Clinton County,79894,655,657,788,1001,1301
NY,36,Columbia County,63094,693,707,834,1007,1074
NY,36,Cortland County,48599,618,620,757,962,1181
NY,36,Delaware County,48055,578,580,696,860,1132
NY,36,Dutchess County,280150,826,971,1189,1458,1553
NY,36,Erie County,950265,597,599,719,889,982
NY,36,Essex County,38851,642,643,772,1027,1116
NY,36,Franklin County,51134,604,605,723,928,1027
NY,36,Fulton County,55073,463,565,714,855,907
NY,36,Genesee County,60370,661,662,796,987,1117
NY,36,Greene County,48195,597,644,785,1021,1112
NY,36,Hamilton County,5379,608,610,732,912,1057
NY,36,Herkimer County,64427,598,599,721,884,1004
NY,36,Jefferson County,111738,696,697,838,1080,1135
NY,36,Kings County,2465326,1183,1280,1424,1752,1970
NY,36,Lewis County,26944,565,568,681,852,951
NY,36,Livingston County,64328,591,654,799,960,1016
NY,36,Madison County,69441,621,623,750,960,1040
NY,36,Monroe County,735343,591,654,799,960,1016
NY,36,Montgomery County,49708,623,668,750,949,1028
NY,36,Nassau County,1334544,1233,1425,1682,2232,2432
NY,36,New York County,1537195,1183,1280,1424,1752,1970
NY,36,Niagara County,219846,597,599,719,889,982
NY,36,Oneida County,235469,598,599,721,884,1004
NY,36,Onondaga County,458336,621,623,750,960,1040
NY,36,Ontario County,100224,591,654,799,960,1016
NY,36,Orange County,341367,826,971,1189,1458,1553
NY,36,Orleans County,44171,591,654,799,960,1016
NY,36,Oswego County,122377,621,623,750,960,1040
NY,36,Otsego County,61676,699,716,841,1118,1162
NY,36,Putnam County,95745,1183,1280,1424,1752,1970
NY,36,Queens County,2229379,1183,1280,1424,1752,1970
NY,36,Rensselaer County,152538,687,713,870,1041,1138
NY,36,Richmond County,443728,1183,1280,1424,1752,1970
NY,36,Rockland County,286753,1183,1280,1424,1752,1970
NY,36,St. Lawrence County,111931,595,597,718,909,993
NY,36,Saratoga County,200635,687,713,870,1041,1138
NY,36,Schenectady County,146555,687,713,870,1041,1138
NY,36,Schoharie County,31582,687,713,870,1041,1138
NY,36,Schuyler County,19224,558,560,672,896,925
NY,36,Seneca County,33342,632,634,760,1000,1265
NY,36,Steuben County,98726,593,595,715,917,1012
NY,36,Suffolk County,1419369,1233,1425,1682,2232,2432
NY,36,Sullivan County,73966,624,692,888,1063,1245
NY,36,Tioga County,51784,590,593,709,925,1085
NY,36,Tompkins County,96501,802,825,966,1169,1212
NY,36,Ulster County,177749,845,917,1098,1391,1728
NY,36,Warren County,63303,631,667,839,1059,1192
NY,36,Washington County,61042,631,667,839,1059,1192
NY,36,Wayne County,93765,591,654,799,960,1016
NY,36,Westchester County,923459,1139,1359,1580,1905,2349
NY,36,Wyoming County,43424,612,629,738,1075,1173
NY,36,Yates County,24621,572,579,688,891,918
