stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,306165,968,1079,1313,1598,1764
NY,36,Allegany County,46304,616,669,826,1028,1198
NY,36,Bronx County,1427056,2123,2170,2451,3078,3316
NY,36,Broome County,192042,725,758,964,1261,1366
NY,36,Cattaraugus County,76750,653,658,826,1068,1180
NY,36,Cayuga County,76958,728,734,937,1181,1371
NY,36,Chautauqua County,127584,575,657,826,1059,1123
NY,36,Chemung County,84115,808,810,1039,1333,1481
NY,36,Chenango County,47527,577,696,829,1077,1192
NY,36,Clinton County,80320,774,779,992,1244,1341
NY,36,Columbia County,60016,913,952,1107,1392,1487
NY,36,Cortland County,47618,775,780,947,1153,1613
NY,36,Delaware County,44676,715,723,826,1135,1139
NY,36,Dutchess County,293524,1126,1233,1583,2016,2238
NY,36,Erie County,918873,869,908,1069,1309,1470
NY,36,Essex County,37281,788,822,934,1316,1365
NY,36,Franklin County,50389,552,710,826,1048,1152
NY,36,Fulton County,53452,735,739,962,1171,1359
NY,36,Genesee County,57554,633,777,946,1233,1349
NY,36,Greene County,47335,883,931,1123,1407,1509
NY,36,Hamilton County,4454,765,770,1013,1233,1434
NY,36,Herkimer County,61738,755,759,955,1162,1376
NY,36,Jefferson County,111454,816,928,1221,1650,1951
NY,36,Kings County,2576771,2123,2170,2451,3078,3316
NY,36,Lewis County,26456,685,692,899,1111,1383
NY,36,Livingston County,63218,839,950,1186,1443,1593
NY,36,Madison County,70990,801,897,1109,1367,1579
NY,36,Monroe County,743084,839,950,1186,1443,1593
NY,36,Montgomery County,49294,747,751,889,1115,1219
NY,36,Nassau County,1355683,1536,1914,2297,2952,3245
NY,36,New York County,1629153,2123,2170,2451,3078,3316
NY,36,Niagara County,210145,869,908,1069,1309,1470
NY,36,Oneida County,229074,755,759,955,1162,1376
NY,36,Onondaga County,461591,801,897,1109,1367,1579
NY,36,Ontario County,109774,839,950,1186,1443,1593
NY,36,Orange County,382077,1126,1233,1583,2016,2238
NY,36,Orleans County,40624,839,950,1186,1443,1593
NY,36,Oswego County,117630,801,897,1109,1367,1579
NY,36,Otsego County,59593,720,827,990,1254,1381
NY,36,Putnam County,98714,2123,2170,2451,3078,3316
NY,36,Queens County,2270976,2123,2170,2451,3078,3316
NY,36,Rensselaer County,159013,968,1079,1313,1598,1764
NY,36,Richmond County,475596,2123,2170,2451,3078,3316
NY,36,Rockland County,325213,2123,2170,2451,3078,3316
NY,36,St. Lawrence County,108352,646,742,909,1133,1223
NY,36,Saratoga County,229313,968,1079,1313,1598,1764
NY,36,Schenectady County,155086,968,1079,1313,1598,1764
NY,36,Schoharie County,31189,968,1079,1313,1598,1764
NY,36,Schuyler County,17845,602,703,900,1202,1326
NY,36,Seneca County,34295,727,732,926,1198,1513
NY,36,Steuben County,95843,676,714,844,1099,1407
NY,36,Suffolk County,1481364,1536,1914,2297,2952,3245
NY,36,Sullivan County,75329,698,838,1008,1341,1526
NY,36,Tioga County,48431,725,758,964,1261,1366
NY,36,Tompkins County,102237,1187,1276,1487,1890,1998
NY,36,Ulster County,178371,1089,1155,1498,1961,2185
NY,36,Warren County,64187,790,896,1119,1451,1503
NY,36,Washington County,61304,790,896,1119,1451,1503
NY,36,Wayne County,90103,839,950,1186,1443,1593
NY,36,Westchester County,968738,1436,1669,2029,2515,2782
NY,36,Wyoming County,40027,623,628,826,1096,1178
NY,36,Yates County,24981,667,757,997,1333,1339
