stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,306165,1011,1131,1374,1661,1830
NY,36,Allegany County,46304,676,731,905,1130,1288
NY,36,Bronx County,1427056,2386,2451,2752,3434,3700
NY,36,Broome County,192042,855,904,1141,1494,1644
NY,36,Cattaraugus County,76750,705,709,905,1138,1291
NY,36,Cayuga County,76958,728,733,958,1210,1409
NY,36,Chautauqua County,127584,662,711,905,1168,1205
NY,36,Chemung County,84115,905,922,1208,1560,1697
NY,36,Chenango County,47527,672,777,905,1214,1354
NY,36,Clinton County,80320,821,826,1047,1283,1395
NY,36,Columbia County,60016,1032,1042,1190,1439,1585
NY,36,Cortland County,47618,800,805,992,1215,1683
NY,36,Delaware County,44676,785,798,905,1275,1280
NY,36,Dutchess County,293524,1237,1419,1825,2315,2560
NY,36,Erie County,918873,951,992,1163,1424,1604
NY,36,Essex County,37281,824,828,971,1309,1446
NY,36,Franklin County,50389,613,763,905,1151,1310
NY,36,Fulton County,53452,729,734,964,1166,1316
NY,36,Genesee County,57554,662,804,976,1217,1352
NY,36,Greene County,47335,926,965,1155,1517,1587
NY,36,Hamilton County,4454,862,868,1140,1378,1594
NY,36,Herkimer County,61738,785,790,992,1199,1410
NY,36,Jefferson County,111454,922,1035,1360,1843,2231
NY,36,Kings County,2576771,2386,2451,2752,3434,3700
NY,36,Lewis County,26456,693,707,905,1160,1453
NY,36,Livingston County,63218,938,1050,1307,1580,1741
NY,36,Madison County,70990,828,916,1126,1381,1600
NY,36,Monroe County,743084,938,1050,1307,1580,1741
NY,36,Montgomery County,49294,745,780,914,1166,1251
NY,36,Nassau County,1355683,1708,2144,2508,3246,3521
NY,36,New York County,1629153,2386,2451,2752,3434,3700
NY,36,Niagara County,210145,951,992,1163,1424,1604
NY,36,Oneida County,229074,785,790,992,1199,1410
NY,36,Onondaga County,461591,828,916,1126,1381,1600
NY,36,Ontario County,109774,938,1050,1307,1580,1741
NY,36,Orange County,382077,1237,1419,1825,2315,2560
NY,36,Orleans County,40624,938,1050,1307,1580,1741
NY,36,Oswego County,117630,828,916,1126,1381,1600
NY,36,Otsego County,59593,719,879,1061,1304,1413
NY,36,Putnam County,98714,2386,2451,2752,3434,3700
NY,36,Queens County,2270976,2386,2451,2752,3434,3700
NY,36,Rensselaer County,159013,1011,1131,1374,1661,1830
NY,36,Richmond County,475596,2386,2451,2752,3434,3700
NY,36,Rockland County,325213,2386,2451,2752,3434,3700
NY,36,St. Lawrence County,108352,661,763,940,1152,1252
NY,36,Saratoga County,229313,1011,1131,1374,1661,1830
NY,36,Schenectady County,155086,1011,1131,1374,1661,1830
NY,36,Schoharie County,31189,1011,1131,1374,1661,1830
NY,36,Schuyler County,17845,637,740,940,1271,1314
NY,36,Seneca County,34295,765,770,991,1297,1682
NY,36,Steuben County,95843,743,759,905,1167,1497
NY,36,Suffolk County,1481364,1708,2144,2508,3246,3521
NY,36,Sullivan County,75329,789,917,1078,1506,1653
NY,36,Tioga County,48431,855,904,1141,1494,1644
NY,36,Tompkins County,102237,1311,1434,1664,2056,2229
NY,36,Ulster County,178371,1284,1308,1702,2198,2459
NY,36,Warren County,64187,939,1025,1284,1662,1710
NY,36,Washington County,61304,939,1025,1284,1662,1710
NY,36,Wayne County,90103,938,1050,1307,1580,1741
NY,36,Westchester County,968738,1648,1934,2352,2885,3132
NY,36,Wyoming County,40027,724,728,905,1220,1345
NY,36,Yates County,24981,723,811,1066,1356,1527
