stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,294565,711,737,900,1077,1177
NY,36,Allegany County,49927,568,571,684,852,1047
NY,36,Bronx County,1332650,1166,1261,1403,1726,1941
NY,36,Broome County,200536,596,599,716,934,1096
NY,36,Cattaraugus County,83955,577,578,696,915,1050
NY,36,Cayuga County,81963,619,620,744,990,1149
NY,36,Chautauqua County,139750,584,587,704,908,992
NY,36,Chemung County,91070,653,655,786,1010,1052
NY,36,Chenango County,51401,581,585,701,883,1231
NY,36,Clinton County,79894,656,659,790,1003,1304
NY,36,Columbia County,63094,716,731,862,1041,1110
NY,36,Cortland County,48599,625,627,765,972,1193
NY,36,Delaware County,48055,588,591,709,876,1154
NY,36,Dutchess County,280150,803,944,1156,1417,1510
NY,36,Erie County,950265,603,605,726,898,992
NY,36,Essex County,38851,618,620,744,990,1076
NY,36,Franklin County,51134,566,567,678,871,963
NY,36,Fulton County,55073,485,592,748,895,951
NY,36,Genesee County,60370,676,677,814,1009,1142
NY,36,Greene County,48195,619,668,814,1058,1153
NY,36,Hamilton County,5379,623,625,750,935,1083
NY,36,Herkimer County,64427,617,618,744,912,1036
NY,36,Jefferson County,111738,644,646,776,1000,1051
NY,36,Kings County,2465326,1166,1261,1403,1726,1941
NY,36,Lewis County,26944,575,578,693,867,967
NY,36,Livingston County,64328,595,658,804,966,1023
NY,36,Madison County,69441,634,636,766,980,1062
NY,36,Monroe County,735343,595,658,804,966,1023
NY,36,Montgomery County,49708,575,617,693,877,949
NY,36,Nassau County,1334544,1218,1407,1661,2204,2402
NY,36,New York County,1537195,1166,1261,1403,1726,1941
NY,36,Niagara County,219846,603,605,726,898,992
NY,36,Oneida County,235469,617,618,744,912,1036
NY,36,Onondaga County,458336,634,636,766,980,1062
NY,36,Ontario County,100224,595,658,804,966,1023
NY,36,Orange County,341367,803,944,1156,1417,1510
NY,36,Orleans County,44171,595,658,804,966,1023
NY,36,Oswego County,122377,634,636,766,980,1062
NY,36,Otsego County,61676,609,624,733,974,1013
NY,36,Putnam County,95745,1166,1261,1403,1726,1941
NY,36,Queens County,2229379,1166,1261,1403,1726,1941
NY,36,Rensselaer County,152538,711,737,900,1077,1177
NY,36,Richmond County,443728,1166,1261,1403,1726,1941
NY,36,Rockland County,286753,1166,1261,1403,1726,1941
NY,36,St. Lawrence County,111931,575,577,694,879,960
NY,36,Saratoga County,200635,711,737,900,1077,1177
NY,36,Schenectady County,146555,711,737,900,1077,1177
NY,36,Schoharie County,31582,711,737,900,1077,1177
NY,36,Schuyler County,19224,627,630,755,1006,1040
NY,36,Seneca County,33342,664,666,798,1050,1329
NY,36,Steuben County,98726,612,613,737,946,1044
NY,36,Suffolk County,1419369,1218,1407,1661,2204,2402
NY,36,Sullivan County,73966,632,700,899,1076,1260
NY,36,Tioga County,51784,596,599,716,934,1096
NY,36,Tompkins County,96501,789,811,950,1150,1192
NY,36,Ulster County,177749,764,828,992,1257,1561
NY,36,Warren County,63303,620,656,825,1041,1172
NY,36,Washington County,61042,620,656,825,1041,1172
NY,36,Wayne County,93765,595,658,804,966,1023
NY,36,Westchester County,923459,1125,1342,1561,1883,2321
NY,36,Wyoming County,43424,594,610,716,1042,1138
NY,36,Yates County,24621,611,619,735,952,980
