stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,315041,1217,1417,1702,2041,2253
NY,36,Allegany County,47222,750,754,974,1243,1464
NY,36,Bronx County,1443229,2529,2655,2910,3644,3959
NY,36,Broome County,198365,783,868,1103,1412,1622
NY,36,Cattaraugus County,77000,778,783,1007,1232,1420
NY,36,Cayuga County,76171,884,889,1124,1463,1679
NY,36,Chautauqua County,127440,680,754,975,1287,1291
NY,36,Chemung County,83584,949,978,1283,1606,1713
NY,36,Chenango County,47096,848,855,973,1353,1482
NY,36,Clinton County,79839,973,980,1246,1494,1650
NY,36,Columbia County,61469,1249,1263,1434,1730,1899
NY,36,Cortland County,46755,954,960,1198,1510,2010
NY,36,Delaware County,44637,813,884,1033,1437,1490
NY,36,Dutchess County,296467,1364,1549,1979,2511,2694
NY,36,Erie County,951232,1105,1139,1343,1640,1869
NY,36,Essex County,37314,891,903,1185,1455,1645
NY,36,Franklin County,47459,720,862,1044,1299,1489
NY,36,Fulton County,53280,823,828,1087,1303,1468
NY,36,Genesee County,58204,805,953,1168,1400,1546
NY,36,Greene County,48067,1008,1118,1373,1813,2075
NY,36,Hamilton County,5090,1075,1089,1429,1713,1892
NY,36,Herkimer County,60293,899,926,1172,1405,1623
NY,36,Jefferson County,117445,969,1071,1405,1907,2340
NY,36,Kings County,2679620,2529,2655,2910,3644,3959
NY,36,Lewis County,26690,758,839,1008,1402,1646
NY,36,Livingston County,61980,1116,1256,1573,1895,2083
NY,36,Madison County,68020,995,1123,1392,1691,1848
NY,36,Monroe County,756406,1116,1256,1573,1895,2083
NY,36,Montgomery County,49624,892,899,1102,1381,1484
NY,36,Nassau County,1389160,1992,2379,2747,3563,3768
NY,36,New York County,1645867,2529,2655,2910,3644,3959
NY,36,Niagara County,212230,1105,1139,1343,1640,1869
NY,36,Oneida County,231055,899,926,1172,1405,1623
NY,36,Onondaga County,472637,995,1123,1392,1691,1848
NY,36,Ontario County,112288,1116,1256,1573,1895,2083
NY,36,Orange County,401237,1364,1549,1979,2511,2694
NY,36,Orleans County,40148,1116,1256,1573,1895,2083
NY,36,Oswego County,118037,995,1123,1392,1691,1848
NY,36,Otsego County,59678,847,965,1228,1472,1626
NY,36,Putnam County,97942,2529,2655,2910,3644,3959
NY,36,Queens County,2360826,2529,2655,2910,3644,3959
NY,36,Rensselaer County,160943,1217,1417,1702,2041,2253
NY,36,Richmond County,492925,2529,2655,2910,3644,3959
NY,36,Rockland County,337326,2529,2655,2910,3644,3959
NY,36,St. Lawrence County,108670,742,816,1071,1284,1418
NY,36,Saratoga County,236328,1217,1417,1702,2041,2253
NY,36,Schenectady County,159447,1217,1417,1702,2041,2253
NY,36,Schoharie County,29970,1217,1417,1702,2041,2253
NY,36,Schuyler County,17855,792,875,1148,1508,1520
NY,36,Seneca County,33651,879,921,1169,1550,1961
NY,36,Steuben County,93584,865,871,1081,1410,1800
NY,36,Suffolk County,1524486,1992,2379,2747,3563,3768
NY,36,Sullivan County,78725,995,1070,1302,1811,1891
NY,36,Tioga County,48344,783,868,1103,1412,1622
NY,36,Tompkins County,102555,1263,1466,1753,2102,2624
NY,36,Ulster County,182153,1303,1386,1818,2245,2407
NY,36,Warren County,65684,1041,1066,1348,1742,1785
NY,36,Washington County,61310,1041,1066,1348,1742,1785
NY,36,Wayne County,91324,1116,1256,1573,1895,2083
NY,36,Westchester County,997904,2529,2655,2910,3644,3959
NY,36,Wyoming County,40338,840,844,973,1336,1603
NY,36,Yates County,24713,756,836,1097,1329,1840
