stusps,state,countyname,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
NY,36,Albany County,294565,686,711,868,1039,1135
NY,36,Allegany County,49927,553,555,665,829,1018
NY,36,Bronx County,1332650,1091,1180,1313,1615,1817
NY,36,Broome County,200536,580,583,697,910,1067
NY,36,Cattaraugus County,83955,560,562,676,888,1019
NY,36,Cayuga County,81963,601,602,722,961,1115
NY,36,Chautauqua County,139750,567,570,683,881,962
NY,36,Chemung County,91070,635,636,764,982,1023
NY,36,Chenango County,51401,565,569,681,858,1196
NY,36,Clinton County,79894,637,640,767,974,1266
NY,36,Columbia County,63094,696,710,837,1011,1078
NY,36,Cortland County,48599,607,609,743,944,1159
NY,36,Delaware County,48055,572,575,689,852,1121
NY,36,Dutchess County,280150,776,913,1117,1369,1459
NY,36,Erie County,950265,601,602,723,894,988
NY,36,Essex County,38851,600,601,722,960,1044
NY,36,Franklin County,51134,550,552,659,846,936
NY,36,Fulton County,55073,471,575,727,870,924
NY,36,Genesee County,60370,657,658,791,981,1110
NY,36,Greene County,48195,601,649,791,1028,1120
NY,36,Hamilton County,5379,606,607,729,908,1053
NY,36,Herkimer County,64427,599,600,722,885,1005
NY,36,Jefferson County,111738,626,627,754,972,1021
NY,36,Kings County,2465326,1091,1180,1313,1615,1817
NY,36,Lewis County,26944,559,561,673,842,940
NY,36,Livingston County,64328,590,652,797,957,1014
NY,36,Madison County,69441,624,626,754,965,1045
NY,36,Monroe County,735343,590,652,797,957,1014
NY,36,Montgomery County,49708,559,600,673,851,922
NY,36,Nassau County,1334544,1159,1339,1581,2098,2286
NY,36,New York County,1537195,1091,1180,1313,1615,1817
NY,36,Niagara County,219846,601,602,723,894,988
NY,36,Oneida County,235469,599,600,722,885,1005
NY,36,Onondaga County,458336,624,626,754,965,1045
NY,36,Ontario County,100224,590,652,797,957,1014
NY,36,Orange County,341367,776,913,1117,1369,1459
NY,36,Orleans County,44171,590,652,797,957,1014
NY,36,Oswego County,122377,624,626,754,965,1045
NY,36,Otsego County,61676,592,606,712,946,984
NY,36,Putnam County,95745,1091,1180,1313,1615,1817
NY,36,Queens County,2229379,1091,1180,1313,1615,1817
NY,36,Rensselaer County,152538,686,711,868,1039,1135
NY,36,Richmond County,443728,1091,1180,1313,1615,1817
NY,36,Rockland County,286753,1091,1180,1313,1615,1817
NY,36,St. Lawrence County,111931,560,561,675,855,934
NY,36,Saratoga County,200635,686,711,868,1039,1135
NY,36,Schenectady County,146555,686,711,868,1039,1135
NY,36,Schoharie County,31582,686,711,868,1039,1135
NY,36,Schuyler County,19224,609,612,734,978,1011
NY,36,Seneca County,33342,645,646,775,1020,1290
NY,36,Steuben County,98726,594,596,716,919,1014
NY,36,Suffolk County,1419369,1159,1339,1581,2098,2286
NY,36,Sullivan County,73966,614,680,873,1045,1224
NY,36,Tioga County,51784,580,583,697,910,1067
NY,36,Tompkins County,96501,766,788,923,1117,1158
NY,36,Ulster County,177749,742,805,964,1221,1517
NY,36,Warren County,63303,603,638,802,1012,1140
NY,36,Washington County,61042,603,638,802,1012,1140
NY,36,Wayne County,93765,590,652,797,957,1014
NY,36,Westchester County,923459,1161,1385,1610,1942,2394
NY,36,Wyoming County,43424,578,594,697,1015,1108
NY,36,Yates County,24621,593,600,713,923,951
